trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.alpha,config.ratio
10ef8_00035,34.498917342610234,0.7803097385946465,0.09103529064511962,5,0.2286408338585026,0.33861303329467773,True,True,,,5,e73f9b8b17b94b4d86e1ab9876df1f27,2021-09-16_19-30-06,1631838606,1.7210700511932373,48092,cengyuchendeMacBook-Pro.local,192.168.0.104,1.7210700511932373,0,5,"35_alpha=0.1,lr=0.005,ratio=(100, 3)",0.005,0.1,"(100, 3)"
10ef8_00036,31.494607235599883,0.7717455561760725,0.0958780482896372,5,0.20688546337622815,0.5000371932983398,True,True,,,5,b21e98862a614c2385d4377ab4199699,2021-09-16_19-30-20,1631838620,2.162240982055664,48097,cengyuchendeMacBook-Pro.local,192.168.0.104,2.162240982055664,0,5,"36_alpha=0.2,lr=0.005,ratio=(100, 3)",0.005,0.2,"(100, 3)"
10ef8_00037,9.622090391741706,0.5412239194200011,0.2833374840887708,20,0.038389815319304854,0.3600423336029053,True,True,,,20,9c83d81238c446029d30b96b1aa20cba,2021-09-16_19-30-40,1631838640,9.796257019042969,48109,cengyuchendeMacBook-Pro.local,192.168.0.104,9.796257019042969,0,20,"37_alpha=0.5,lr=0.005,ratio=(100, 3)",0.005,0.5,"(100, 3)"
10ef8_00038,0.12712959423725645,0.5412239194200011,0.2833374840887708,80,0.0002624294260463733,0.45043110847473145,True,True,,,80,f8d7ded243714dd79e25bb36e503d46f,2021-09-16_19-31-35,1631838695,36.49285006523132,48115,cengyuchendeMacBook-Pro.local,192.168.0.104,36.49285006523132,0,80,"38_alpha=1,lr=0.005,ratio=(100, 3)",0.005,1.0,"(100, 3)"
10ef8_00039,-159.81061324882364,0.15490535439066072,0.000331221898547146,100,1.0664700154601618,1.899460792541504,True,True,,,100,6acda09308634c98a2dca167d50a8f44,2021-09-16_19-35-18,1631838918,186.69564270973206,48134,cengyuchendeMacBook-Pro.local,192.168.0.104,186.69564270973206,0,100,"39_alpha=2,lr=0.005,ratio=(100, 3)",0.005,2.0,"(100, 3)"
10ef8_00040,34.92535973784111,0.8701130095576385,0.006548340787922435,5,0.18300991081124796,1.4175360202789307,True,True,,,5,64b119f8a70c4f979c79187213ffc1b6,2021-09-16_19-35-53,1631838953,7.724654197692871,48291,cengyuchendeMacBook-Pro.local,192.168.0.104,7.724654197692871,0,5,"40_alpha=0.001,lr=0.01,ratio=(100, 3)",0.01,0.001,"(100, 3)"
10ef8_00041,33.33396639075111,0.8526167368521678,0.021386452940495737,5,0.20028837962780383,1.328291893005371,True,True,,,5,7fc2ffe2096d4d5797c68ec1f73fba89,2021-09-16_19-36-24,1631838984,7.201742172241211,48317,cengyuchendeMacBook-Pro.local,192.168.0.104,7.201742172241211,0,5,"41_alpha=0.05,lr=0.01,ratio=(100, 3)",0.01,0.05,"(100, 3)"
10ef8_00042,32.23010783198357,0.8436758419325247,0.029795715749559304,5,0.21124660693267083,1.9585437774658203,True,True,,,5,612a982e25144648b88a49bfe452e683,2021-09-16_19-36-59,1631839019,8.060683012008667,48336,cengyuchendeMacBook-Pro.local,192.168.0.104,8.060683012008667,0,5,"42_alpha=0.08,lr=0.01,ratio=(100, 3)",0.01,0.08,"(100, 3)"
10ef8_00043,31.462740661477085,0.8447303015209374,0.029272888271726027,5,0.20454795258080832,2.677014112472534,True,True,,,5,f7499c8bdaa442f4bf057cd748f83fef,2021-09-16_19-37-37,1631839057,11.779825210571289,48346,cengyuchendeMacBook-Pro.local,192.168.0.104,11.779825210571289,0,5,"43_alpha=0.1,lr=0.01,ratio=(100, 3)",0.01,0.1,"(100, 3)"
10ef8_00044,27.704331071191177,0.8180273178405338,0.05225444717807326,5,0.2065966344015927,2.14762020111084,True,True,,,5,d4b17dbefbe847c98fcc7e123d08ca67,2021-09-16_19-38-15,1631839095,9.126553297042847,48378,cengyuchendeMacBook-Pro.local,192.168.0.104,9.126553297042847,0,5,"44_alpha=0.2,lr=0.01,ratio=(100, 3)",0.01,0.2,"(100, 3)"
10ef8_00045,5.032813688795393,0.5412239194200011,0.2833374840887708,20,0.0319630523399842,1.293032169342041,True,True,,,20,b28ed01302ea404685e324343913eec4,2021-09-16_19-39-04,1631839144,25.7790310382843,48387,cengyuchendeMacBook-Pro.local,192.168.0.104,25.7790310382843,0,20,"45_alpha=0.5,lr=0.01,ratio=(100, 3)",0.01,0.5,"(100, 3)"
10ef8_00046,0.3563673823956853,0.5412239194200011,0.2833374840887708,20,0.0019743685013609014,1.6250450611114502,True,True,,,20,5ac16069bbd247749151279fbb4149ed,2021-09-16_19-40-06,1631839206,39.98664593696594,48434,cengyuchendeMacBook-Pro.local,192.168.0.104,39.98664593696594,0,20,"46_alpha=1,lr=0.01,ratio=(100, 3)",0.01,1.0,"(100, 3)"
10ef8_00047,3.652906999687782e+22,0.13239903601849476,0.006402225811158235,20,14374326729.982422,2.349167823791504,True,True,,,20,f343138728bf44398c4527c7dc9083f7,2021-09-16_19-41-47,1631839307,58.41587209701538,48472,cengyuchendeMacBook-Pro.local,192.168.0.104,58.41587209701538,0,20,"47_alpha=2,lr=0.01,ratio=(100, 3)",0.01,2.0,"(100, 3)"
